year	concentration	spring	summer	autumn	winter	nthyear	nthqrt
1977	330.8846667	1	0	0	0	0	0
1977	332.2173334	0	1	0	0	0	0.25
1977	330.8453333	0	0	1	0	0	0.5
1977	331.426	0	0	0	1	0	0.75
1978	332.9173333	1	0	0	0	1	1
1978	333.7543333	0	1	0	0	1	1.25
1978	332.506	0	0	1	0	1	1.5
1978	333.4886667	0	0	0	1	1	1.75
1979	335.0453333	1	0	0	0	2	2
1979	335.6006667	0	1	0	0	2	2.25
1979	334.6973333	0	0	1	0	2	2.5
1979	334.9255	0	0	0	1	2	2.75
1980	335.977	1	0	0	0	3	3
1980	337.2248334	0	1	0	0	3	3.25
1980	336.0466667	0	0	1	0	3	3.5
1980	336.827	0	0	0	1	3	3.75
1981	337.0813333	1	0	0	0	4	4
1981	338.4458333	0	1	0	0	4	4.25
1981	337.2486667	0	0	1	0	4	4.5
1981	338.398	0	0	0	1	4	4.75
1982	338.079	1	0	0	0	5	5
1982	339.3751667	0	1	0	0	5	5.25
1982	337.668	0	0	1	0	5	5.5
1982	339.5786667	0	0	0	1	5	5.75
1983	338.671	1	0	0	0	6	6
1983	340.8203334	0	1	0	0	6	6.25
1983	339.0553333	0	0	1	0	6	6.5
1983	340.3841667	0	0	0	1	6	6.75
1984	341.3023333	1	0	0	0	7	7
1984	342.9685	0	1	0	0	7	7.25
1984	341.288	0	0	1	0	7	7.5
1984	342.4355	0	0	0	1	7	7.75
1985	342.4686667	1	0	0	0	8	8
1985	344.2358334	0	1	0	0	8	8.25
1985	342.525	0	0	1	0	8	8.5
1985	344.0498333	0	0	0	1	8	8.75
1986	344.1123333	1	0	0	0	9	9
1986	345.6293334	0	1	0	0	9	9.25
1986	343.822	0	0	1	0	9	9.5
1986	345.4156667	0	0	0	1	9	9.75
1987	345.2496667	1	0	0	0	10	10
1987	347.0223333	0	1	0	0	10	10.25
1987	345.1176667	0	0	1	0	10	10.5
1987	346.7096667	0	0	0	1	10	10.75
1988	347.322	1	0	0	0	11	11
1988	349.51	0	1	0	0	11	11.25
1988	347.6156667	0	0	1	0	11	11.5
1988	348.7186667	0	0	0	1	11	11.75
1989	348.957	1	0	0	0	12	12
1989	350.8591667	0	1	0	0	12	12.25
1989	349.0323333	0	0	1	0	12	12.5
1989	350.915	0	0	0	1	12	12.75
1990	350.147	1	0	0	0	13	13
1990	352.0173334	0	1	0	0	13	13.25
1990	350.339	0	0	1	0	13	13.5
1990	351.9668333	0	0	0	1	13	13.75
1991	351.7883333	1	0	0	0	14	14
1991	353.4781667	0	1	0	0	14	14.25
1991	351.9556667	0	0	1	0	14	14.5
1991	353.5336667	0	0	0	1	14	14.75
1992	353.6493333	1	0	0	0	15	15
1992	354.8351667	0	1	0	0	15	15.25
1992	353.4206667	0	0	1	0	15	15.5
1992	354.7708334	0	0	0	1	15	15.75
1993	354.9756667	1	0	0	0	16	16
1993	355.6341667	0	1	0	0	16	16.25
1993	354.353	0	0	1	0	16	16.5
1993	355.841	0	0	0	1	16	16.75
1994	355.8603333	1	0	0	0	17	17
1994	356.9476667	0	1	0	0	17	17.25
1994	355.7026667	0	0	1	0	17	17.5
1994	356.8871667	0	0	0	1	17	17.75
1995	357.5616667	1	0	0	0	18	18
1995	359.1733333	0	1	0	0	18	18.25
1995	357.7513333	0	0	1	0	18	18.5
1995	358.63	0	0	0	1	18	18.75
1996	359.3253333	1	0	0	0	19	19
1996	360.9873333	0	1	0	0	19	19.25
1996	359.3006667	0	0	1	0	19	19.5
1996	360.5613333	0	0	0	1	19	19.75
1997	360.685	1	0	0	0	20	20
1997	361.963	0	1	0	0	20	20.25
